Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
J Prosthodont Res	38	38	131	112	147	38	274.5	155	349	38	392.5	255	508
J Proteomics	410	410	91	71	154	410	102	73	137	410	207	168	291
J Psychiatr Res	239	239	111	102	124	239	120	80.5	157	239	237	190.5	267.5
J Psychosoc Nurs Ment Health Serv	37	37	96	52	143	37	152	85	177	37	248	178	301
J Psychosom Res	155	155	84	63	107	155	120	81.5	152	155	213	171	244
J Public Health Dent	45	45		92		45	213	163	263	45	172	80	317
J Public Health Res	27	27	53	23		27	77	54.5	102	27	120	76	156
J R Stat Soc Ser C Appl Stat	1	1				1				1			
J Radiat Oncol	1	1				1				1			
J Refract Surg	93	93	104	81	121	93	118	80	173	93	222	181	272
J Rehabil Res Dev	48	48				48				48	159	66.5	
J Ren Nutr	77	77	168	100	309	77	62	7	123	77	306	104	439
J Renal Inj Prev	63	63				63	46	27	73.5	63			
J Reprod Infertil	12	12	74	67	106	12	97.5	70.5	104.5	12	180.5	129.5	209.5
J Res Health Sci	31	31				31	72	53	104	31			
J Res Med Sci	139	139	34	16	101.5	139	132	63	260	139	206	88	345.5
J RNAi Gene Silencing	3	3				3				3			
J Robot Surg	5	5	438	419		5	95	67	103	5	463	15	468
J Rural Med	20	20				20	87	60.5	93	20			
J S Afr Vet Assoc	5	5				5	128	0	194	5		90	
J Safety Res	58	58	126	102	170	58	191	122	268	58	317	270	388
J Saudi Heart Assoc	35	35	74	35.5	162.5	35	86	47	107.5	35	173	117.5	283
J Sch Health	55	55	353	301.5	376.5	55	253	205.5	297	55	598	540	654
J Sch Psychol	43	43	106	84	143	43	382	300	514	43	529	388	632
J Sci Med Sport	157	157	309	274	347	157	156	114	223	157	469	421	554
J Sep Sci	496	496	76	65	92	496	59	40.5	88	496	142	119	169
J Shoulder Elbow Surg	287	287	258	168	286	287	118	87	149	287	378	294	427
J Signal Transduct	7	7				7	59	48	66.5	7			
J Skin Cancer	31	31				31	60	46.5	76	31		134	
J Sleep Res	60	60	204	196	222	60	125	94	169	60	326	300	380.5
J Small Anim Pract	7	7	152	62	330	7	130	125.5	151	7	273	192	476.5
J Sol Energy Eng	1	1				1				1			
J Solution Chem	12	12				12	215.5	145.5	246	12	460	90	
J Spec Pediatr Nurs	31	31	119	109	140	31	173	147.5	253	31	306	275	380
J Sports Sci Med	165	165				165	107	69	168	165		81	
J Stat Plan Inference	1	1				1				1			
J Stem Cells Regen Med	9	9				9	77	51	228	9		56	
J Stroke	17	17	29	4		17	53	37	99	17	94	41	120
J Stroke Cerebrovasc Dis	347	347	316	197.5	499	347	66	45	107	347	393	273	586
J Subst Abuse Treat	167	167	193	166	273	167	167	131.5	229	167	405	313	489.5
J Support Oncol	4	4				4				4			
J Surfactants Deterg	6	6	220.5	205		6	147.5	42	186	6	391	345	
J Surg Educ	160	160				160	79	51.5	118	160			
J Surg Oncol	178	178	106.5	87	155	178	103	50	160	178	235	163	299
J Synchrotron Radiat	174	174	73.5	55	90	174	104.5	66	147	174	176.5	152	226
J Syst Softw	1	1				1				1			
J Tehran Heart Cent	18	18	170.5	139	236	18	182.5	117	241	18	422	335	467
J Ther Ultrasound	34	34				34	103.5	89	142	34			
J Thorac Dis	81	81	44	23	102	81	30	10	35	81	75	42	121
J Thyroid Res	35	35				35	86	49.5	122	35			
J Tissue Eng	9	9				9	55	49	63	9			
J Tissue Eng Regen Med	126	126	79.5	54	551	126	233.5	164	289	126	362	224	809
J Tissue Viability	16	16	95.5	74	106	16	119	95.5	211	16	229	185.5	317
J Toxicol	38	38				38	62	47	77	38		303	
J Toxicol Pathol	50	50	125	101	148	50	65	49	99	50	184	163	235
J Trace Elem Med Biol	67	67	182	134.5	215	67	185	137	254	67	355	308	454
J Transl Med	180	180				180	102.5	74.5	139	180		105.5	
J Transplant	36	36				36	64.5	53	95	36			
J Trauma Manag Outcomes	5	5				5	455	381	506	5	298	254	393
J Trauma Stress	10	10	143	134	167	10	298	237	321	10	445	371	465
J Travel Med	74	74				74	113	84	143	74			
J Trop Med	47	47				47	89	64	107	47		66	
J Turbomach	1	1				1				1			
J Turk Ger Gynecol Assoc	79	79				79	38	21	69	79		47	
J Ultrasound	41	41		104		41	16	10	41	41	462	73	
J Undergrad Neurosci Educ	18	18				18	73	49	96	18			
J Vac Sci Technol A	3	3				3				3			
J Vasc Interv Radiol	219	219	104	96.5	124	219	100	71	141	219	213	178	271.5
J Vasc Nurs	7	7	258	235	306	7	43	42.5	71	7	301	294	348
J Venom Anim Toxins Incl Trop Dis	16	16				16	92.5	40	111	16		80	
J Venom Res	7	7				7	119	117	148.5	7			
J Vet Cardiol	30	30	119	77	173	30	144	76	237	30	289.5	171	365
J Vet Emerg Crit Care (San Antonio)	63	63				63	502	400.5	572.5	63			
J Vib Acoust	4	4				4				4			
J Voice	191	191	151	130	177	191	90	58.5	116.5	191	232	198	284
J Young Pharm	13	13	38	17	101	13	48	40	66	13	86	73	105
J Youth Adolesc	133	133	172	91	285	133	72	52	100	133	247	175	371
J Youth Stud	1	1				1				1			
J. Allergy Clin. Immunol.	331	331	128	80.5	167	331	134	82	184.5	331	276	190	361.5
J. Am. Acad. Dermatol.	260	260	166	133.5	196	260	113	63	159	260	276	225.5	347
J. Am. Coll. Cardiol.	620	620	132	98	175	620	73	39.5	105.5	620	209	175	244.5
J. Am. Coll. Surg.	357	357	114	108	135	357	57	41	75	357	178	144	210
J. Am. Soc. Mass Spectrom.	253	253	103	86	120	253	74	51	107	253	183	152	228
J. Anim. Breed. Genet.	26	26	236	200	290	26	161.5	112	227	26	378	316	499
J. Antibiot.	86	86	136	111	154	86	104	58	128	86	238	159	275
J. Appl. Genet.	41	41	100	72	107	41	86	63	96	41	173	159	230
J. Appl. Microbiol.	370	370	99	90	107	370	80	63	108	370	178.5	157	207
J. Appl. Phycol.	6	6				6	110	96	112	6	72	2	157
J. Assist. Reprod. Genet.	210	210	52	35	76	210	77	56	104	210	132	108	161
J. Assoc. Res. Otolaryngol.	60	60	113	101	125.5	60	138.5	95	256	60	270	201	368.5
J. Autoimmun.	105	105	78	58	107	105	26	1	62	105	96	74	177
J. Basic Microbiol.	152	152	433.5	395.5	504.5	152	92	70	124.5	152	526	485	595
J. Biochem. Mol. Toxicol.	72	72	67	55	87	72	64.5	54	80.5	72	137	121.5	155
J. Bioenerg. Biomembr.	40	40	127	100.5	175	40	62	44.5	79.5	40	185.5	166.5	247.5
J. Biol. Inorg. Chem.	99	99	77	55	91	99	94	61.5	129	99	170	127	206.5
J. Biomed. Mater. Res. Part B Appl. Biomater.	234	234	213	188	229	234	136	101	207	234	350	302	415
J. Biomed. Sci.	43	43				43	92	66.5	108.5	43			
J. Biomol. NMR	115	115	45	36	57	115	63	50.5	92	115	119	85	144
J. Biosci. Bioeng.	251	251	168	158	181	251	80	57	121	251	255	218.5	287
J. Biotechnol.	329	329	77	66	111	329	106	70	147	329	190	146	262
J. Bone Miner. Metab.	126	126	198	157	284	126	136	99	212	126	374	300	458
J. Bone Miner. Res.	109	109	156	143	177	109	105	74	153	109	271	235	316
J. Cancer Res. Clin. Oncol.	220	220	94	76	109	220	52	23	85	220	144.5	114	191.5
J. Card. Fail.	71	71	47	37	56.5	71	122	86	209	71	175	133.5	256.5
J. Cardiothorac. Vasc. Anesth.	210	210				210				210	389.5	350	492
J. Cardiovasc. Electrophysiol.	168	168	149	137.5	159.5	168	63	36	97	168	213	185	259
J. Cell. Biochem.	127	127	168	158	177	127	65	13	152.5	127	235	186.5	325.5
J. Cell. Mol. Med.	179	179	93	79	106.5	179	127	91	162	179	217	180	260
J. Cell. Physiol.	101	101	201	191	214	101	43	10	85	101	255	212	312
J. Cereal Sci.	2	2				2				2			
J. Cereb. Blood Flow Metab.	160	160	111	105	122	160	93.5	75	136	160	207	175	248
J. Chem. Ecol.	134	134	31	24	47	134	116	67	145	134	151	107	194
J. Chem. Neuroanat.	53	53	62	40	82	53	95	53	135	53	167	128	211
J. Chromatogr. B Analyt. Technol. Biomed. Life Sci.	525	525	64	57	74	525	105	73	150	525	175	142	224
J. Clin. Immunol.	194	194	112	96	130	194	86	57	119	194	197	178	232
J. Clin. Invest.	377	377	81	73	88	377	148	107	190	377	228	188	269
J. Clin. Lab. Anal.	65	65	146	88	157	65	135	86	266	65	286	216	388
J. Clin. Periodontol.	21	21	107	100	116	21	129	72	202	21	229	175	317
J. Clin. Virol.	305	305	106	84	118	305	87	64	122	305	201	172	238
J. Comp. Neurol.	95	95	202	173	212.5	95	152	92	222	95	346	274	426.5
J. Comp. Pathol.	139	139	257	221		139	117	88.5	169	139	437	328	
J. Comp. Physiol. A Neuroethol. Sens. Neural. Behav. Physiol.	105	105	87	76	116	105	99	68	147	105	202	166	262
J. Comput. Aided Mol. Des.	46	46		25		46	110	72	147	46	101	73	161
J. Contam. Hydrol.	104	104	79	70	90.5	104	190	143	272.5	104	268	224.5	363
J. Cutan. Pathol.	94	94	129.5	103	288	94	98.5	63	202	94	226.5	168	525
J. Cyst. Fibros.	108	108	223.5	195.5	250	108	90.5	67	124	108	312.5	275	367
J. Dairy Sci.	831	831	100	91	109	831	125	89	170	831	225	189	270
J. Dermatol.	134	134	122.5	104	138	134	56	31	112	134	188	154	226
J. Dermatol. Sci.	109	109	117	88	133	109	140	99	190	109	255	208	308
J. Diabetes Complicat.	121	121				121	97	64	134	121			
J. Ecol.	2	2				2				2			
J. Environ. Manage.	632	632	112.5	94	138	632	202	135.5	308.5	632	327.5	254	413.5
J. Eukaryot. Microbiol.	101	101				101	87	55	150	101			
J. Evol. Biol.	288	288	115	101	126	288	96	65	130	288	212	184	261
J. Exp. Clin. Cancer Res.	43	43				43	45	33.5	67	43			
J. Exp. Zool. B Mol. Dev. Evol.	46	46	117.5	90	163	46	136	114	183	46	261	213	346
J. Fish Biol.	189	189	83	76	97	189	166	115	231	189	259	197	323
J. Fish Dis.	134	134	296	233	389	134	84	59	120	134	381	291	481
J. Food Sci.	274	274	82	70	97	274	107.5	77	168	274	195	152	254
J. Forensic Sci.	360	360	393	372	427	360	159.5	116.5	228	360	571	510	635
J. Formos. Med. Assoc.	135	135	237	65.5	476.5	135	123	58	192.5	135	337	199.5	639
J. Gastroenterol.	163	163	300	240	330	163	83	47.5	137	163	399	343	442.5
J. Gastrointest. Surg.	273	273	95	76	136	273	89	55	131	273	201	167	232
J. Hazard. Mater.	829	829	84	72	99	829	102	78	147	829	194	157	246
J. Heart Lung Transplant.	118	118	86.5	75	103	118	120	81	149	118	210.5	168	237
J. Hepatol.	338	338	133	120	143	338	111	68	165	338	246	202	300
J. Hosp. Infect.	206	206	95	84	119	206	143	88	177	206	236	200	290
J. Huazhong Univ. Sci. Technol. Med. Sci.	56	56				56				56	208.5	148.5	291
J. Hum. Evol.	118	118	98	80	116	118	174.5	119	330	118	279	208	455
J. Hum. Genet.	68	68	101	84	119	68	103	73	141	68	222	165.5	245
J. Immunol. Methods	193	193	106	97	118	193	79	53	127	193	189	155	237
J. Ind. Microbiol. Biotechnol.	183	183	88	78	97	183	76	54	116	183	163	138	215
J. Infect.	113	113	110	100	125	113	85	62	127	113	192	170	249
J. Infect. Chemother.	127	127	227	203	258	127	77	56	112	127	300	263.5	358.5
J. Inherit. Metab. Dis.	99	99	241	171	281.5	99	75	55.5	124	99	330	215	393
J. Inorg. Biochem.	185	185	107	97	118	185	105	75	138	185	217	184	276
J. Insect Physiol.	161	161	66	56	73	161	86	63	125	161	154	130	200
J. Invertebr. Pathol.	132	132	82	69.5	110	132	99.5	72	151.5	132	201.5	158	267
J. Invest. Dermatol.	147	147	208	189	224	147	128	97.5	167	147	341	303.5	389.5
J. Korean Med. Sci.	263	263	61	48	72.5	263	122	90.5	161	263	188	148.5	236
J. Magn. Reson.	233	233	74	67	86	233	74	53	112	233	160	126	190
J. Med. Dent. Sci.	10	10		14		10	58.5	50	113	10		64	
J. Med. Internet Res.	139	139				139	123	73	166.5	139		98	
J. Med. Virol.	1	1				1				1			
J. Membr. Biol.	122	122	54	30	131	122	113.5	79	146	122	187.5	143	264
J. Microbiol.	63	63	143	108	160	63	84	50.5	117	63	229	170	262
J. Microbiol. Biotechnol.	1	1				1				1			
J. Microbiol. Methods	267	267	70	59	82	267	63	36	88	267	136	99.5	169
J. Mol. Biol.	407	407	105	90	120	407	73	52	106	407	188	154	237
J. Mol. Cell. Cardiol.	220	220	86	76	111	220	115	66.5	152	220	214.5	167	248.5
J. Mol. Evol.	39	39	41	23	64.5	39	125	74	157	39	155	111	165
J. Mol. Graph. Model.	158	158	58	34	69	158	92	70	129	158	155.5	130	189
J. Mol. Histol.	73	73	165	132	202	73	60	43	74	73	241	198	256
J. Mol. Med.	126	126	132.5	77	151	126	99.5	56	150	126	232.5	136	294
J. Mol. Neurosci.	229	229	147	116	207	229	49	34	82	229	215	167	255
J. Mol. Recognit.	25	25	113	106	127	25	88	50	129	25	198	153	263
J. Morphol.	103	103	161	148	175.5	103	140	77	189	103	297	245	345.5
J. Muscle Res. Cell. Motil.	23	23	68	37	98.5	23	64	29	79	23	135	79.5	171
J. Nematol.	19	19				19				19	171	136	291.5
J. Neurochem.	360	360	94	76	140.5	360	75	48	119	360	186	145	231.5
J. Neuroendocrinol.	44	44	92	69.5	151	44	150	94	174.5	44	239	195	288
J. Neuroimmunol.	225	225	91	84	103	225	88	59	148	225	184	154	246
J. Neurol.	301	301	136	103	163	301	63	36	90	301	202	169	255
J. Neurol. Sci.	386	386	91	81	103	386	82	57	123	386	179	142	237
J. Neurooncol.	307	307	78	66	86	307	127	99	159.5	307	202	171	241
J. Neurosci. Methods	290	290	87	78	104	290	97	62	140	290	184	154	237
J. Neurosci. Res.	153	153	151	130	166	153	102	74	131	153	253	222	294
J. Neurovirol.	59	59	52	41.5	63	59	97	62	132	59	148	116	205
J. Nutr. Biochem.	217	217	238	189	299	217	151	118	198	217	392	321	495
J. Obstet. Gynaecol. Res.	200	200	256	216	271	200	124	86	178	200	381.5	337	419.5
J. Oral Maxillofac. Surg.	310	310	166	137	187	310	85	49	125	310	252	211	303
J. Orthop. Res.	235	235	151	143.5	171	235	147	102	194	235	300	261	360
J. Pathol.	113	113	110	96	131	113	84	30	127	113	202	131	254
J. Pediatr.	535	535	162	138.5	187	535	122	83.5	164	535	291	233	330
J. Pediatr. Endocrinol. Metab.	192	192		96		192	87.5	57.5	114.5	192	222	82	
J. Pediatr. Surg.	361	361	86	79	131	361	37	13	102	361	115	97	276
J. Pept. Sci.	122	122	80	73	93	122	73	49	120	122	153	132	200
J. Perianesth. Nurs.	20	20	87	73	290.5	20	28.5	9	184.5	20	108.5	85	467.5
J. Peripher. Nerv. Syst.	13	13	33	31	40	13	97	64	165	13	148	106	205
J. Pharm. Pharmacol.	185	185	115	100	139	185	124	92	162	185	249	203	297
J. Physiol. (Lond.)	1	1				1				1			
J. Physiol. Biochem.	66	66	241	204	262	66	136.5	112	183	66	376	335	440
J. Physiol. Paris	34	34	273	92		34	124	68	195	34	417	295	
J. Physiol. Pharmacol.	34	34		20		34	127.5	100	181	34	116.5	86	163
J. Pineal Res.	55	55	135	110.5	167.5	55	59	35.5	91	55	215	161	232.5
J. Plant Physiol.	201	201	153	138	161	201	103	70	129	201	248	221	286
J. Plant Res.	76	76	197	174	209	76	122	84	170.5	76	320.5	278.5	391.5
J. Reprod. Immunol.	51	51	107	74	172.5	51	117	73	158	51	211	197	286
J. Sci. Food Agric.	553	553	201	163	230	553	141	94	191	553	343	286	404
J. Steroid Biochem. Mol. Biol.	201	201	214	138	273	201	116	84	155	201	354	275	362
J. Struct. Biol.	206	206	68	52	87	206	92	71	126	206	170.5	134	214
J. Struct. Funct. Genomics	18	18	60.5	22		18	76	48	133	18	129.5	98	169
J. Surg. Res.	760	760	178	154	214	760	85	58	119	760	267.5	238	331.5
J. Theor. Biol.	370	370	120	108	130	370	161.5	117	214	370	284	236	338
J. Therm. Biol.	9	9	96	80	98	9	149	108	185	9	231	193	283
J. Thorac. Cardiovasc. Surg.	530	530	168	117	325	530	104	67	155	530	322.5	213	458
J. Thromb. Haemost.	113	113	81	67		113	128	74		113	177	140	214
J. Urol.	182	182	173	161	201	182	0	0	65	182	173	161	206
J. Vasc. Res.	66	66				66	127	89	175	66		197	
J. Vasc. Surg.	513	513	191	174	221	513	77	58	111	513	280	247	353
J. Vet. Intern. Med.	284	284				284	181	132	238.5	284			
J. Vet. Pharmacol. Ther.	42	42	273.5	225	317	42	130	90	185	42	411.5	365	497
J. Vet. Sci.	111	111	233	92		111	141	90	228.5	111	296	134.5	452
J. Viral Hepat.	116	116	241	215	266.5	116	62	49	93	116	302.5	276	362
J. Virol. Methods	341	341	108	93	127	341	149	111	198	341	266	215	321
J. Wildl. Manage.	2	2				2				2			
J. Zool. (Lond.)	2	2				2				2			
JACC Cardiovasc Imaging	88	88	150	95	183	88	86.5	42.5	126	88	236	163	284
JACC Cardiovasc Interv	143	143	125	107	142	143	71	25	100	143	187	172.5	222
JACC Heart Fail	35	35	98	82	132	35	70	26.5	102	35	168	121	223.5
JAKSTAT	61	61	119	67	150	61	38	19	65	61	132	75	189
JIMD Rep	143	143	210	125.5		143	82	50	142.5	143	277	137	404.5
JMIR Med Inform	2	2				2				2			
JMIR Mhealth Uhealth	20	20				20	133	106	159.5	20			
JMIR Res Protoc	22	22				22	103	72	160	22	117.5	50	
Joint Bone Spine	79	79	255	224.5	288.5	79	75	50	113.5	79	343	291	396
JOP	70	70	29.5	20	50	70	60	18	92	70	97.5	56	131
Jpn J Nurs Sci	14	14	447.5	443	463	14	195.5	122	288	14	643.5	602	744
Jpn J Radiol	116	116	84	62	102	116	84	59	129.5	116	168	139	220.5
Jpn. J. Ophthalmol.	88	88	123	97	144	88	172	135.5	219	88	295.5	250	349
Jundishapur J Microbiol	2	2				2				2			
Jundishapur J Nat Pharm Prod	31	31	107	74.5		31	105	56.5	128	31	228	192	
Kaohsiung J. Med. Sci.	108	108	358	305	408	108	81	55	121	108	439	386	525.5
Kardiol Pol	317	317				317		1		317			
Kidney Blood Press. Res.	2	2				2				2			
Kidney Int.	177	177	218	194	238	177	140	85	213	177	356	305	426
Knee	121	121	197	134	276	121	185	127	273	121	391	327	514
Knee Surg Relat Res	31	31	49	43	65	31	125	84	195	31	190	135	253
Knee Surg Sports Traumatol Arthrosc	477	477	349	248	420	477	164	115	214	477	523	398	622
Korean Circ J	57	57	130	43	170	57	78	54	111	57	213	145	246
Korean J Anesthesiol	71	71	180	146	257	71	72	57	105.5	71	261	218.5	361
Korean J Audiol	20	20	24	16	66	20	91.5	52	122.5	20	129	84.5	155
Korean J Fam Med	19	19	32	6.5		19	368	163	505.5	19	372	172.5	507.5
Korean J Ophthalmol	85	85	325	277	547	85	123	67	163	85	479	400	617
Korean J Orthod	11	11	137	121.5	188	11	67	50	123	11	249	178.5	281
Korean J Pain	43	43	81	45.5	98.5	43	28	15.5	65.5	43	123	79.5	145.5
Korean J Pathol	24	24	52	28.5	213	24	51	27	58.5	24	105	62	248.5
Korean J Pediatr	51	51	137	71	214	51	105	43	146	51	237	177.5	316.5
Korean J Radiol	128	128				128	125	75.5	190	128			
Korean J Spine	29	29		26		29	68	59	93	29	77	47	108
Korean J Thorac Cardiovasc Surg	30	30	171	146	196	30	72.5	38	111	30	250.5	220	270
Korean J Urol	69	69	75	63	145	69	61	35	91	69	154	112	218
Korean J. Intern. Med.	77	77	257	96	383	77	77	32	136	77	346	154	527
Korean J. Parasitol.	25	25	49	41	72	25	75	63	105	25	137	114	186
Korean J. Physiol. Pharmacol.	36	36	46.5	25	61.5	36	91	56.5	128	36	138.5	76	175
Lab Anim (NY)	14	14	169	156	184	14	85.5	59	127	14	263	224	292
Lab Anim Res	20	20	44.5	11		20	61	36	82.5	20	93	41	103
Lab. Invest.	51	51	70	61	79	51	130	95	181	51	186	166	250
Labour Econ	1	1				1				1			
Lang Cogn Process	1	1				1				1			
Langenbecks Arch Surg	119	119	65	42	97.5	119	117	69	153.5	119	189	132	254.5
Laryngoscope	440	440	237	204.5	275	440	84	53	136	440	332	283	401
Laser Photon Rev	1	1				1				1			
Laser Ther	21	21				21	40	26	80	21			
Lasers Med Sci	258	258	300	256	363	258	140	80	199	258	460	380	577
Learn Individ Differ	1	1				1				1			
Leg Med (Tokyo)	64	64	156.5	102.5	182	64	78	39.5	135.5	64	231	200.5	301
Lett. Appl. Microbiol.	172	172	107.5	90	119	172	91.5	66	138	172	198	169	249
Leuk Res Rep	39	39				39	77	57	92.5	39		86.5	
Leuk Res Treatment	11	11				11	78	65.5	145.5	11			
Leuk. Res.	278	278	103.5	86	120	278	86	56	142	278	198	169	238
Leukemia	129	129	178	143	214	129	73	38	128	129	254	192	300
Libyan J Med	10	10				10	60.5	24	107	10			
Life (Basel)	22	22				22	56	41	74	22			
Life Sci.	296	296	66	61.5	75	296	124	86	160	296	190	158	229
Lifetime Data Anal	51	51	178	126.5	266	51	291	206	351	51	461	363	640.5
Limnologica	2	2				2				2			
Linear Algebra Appl	1	1				1				1			
Lipid Insights	1	1				1				1			
Lipids	135	135	79	60	103	135	117	62	166.5	135	198	136.5	252
Lipids Health Dis	91	91				91	52	38.5	84.5	91			
Liver Int.	241	241	152	123	213	241	133	96	178	241	284	233	380
Liver Transpl.	115	115	95	86.5	108	115	104	82	148	115	211	178.5	249.5
Longev Healthspan	7	7		38		7	106	74	140	7	312	144	
Luminescence	180	180		386		180	110	81.5	139	180		529	
Lung	79	79	97	83	107	79	99	71	125	79	195	158.5	231
Lung Cancer	304	304	100.5	88	115.5	304	98	71	131	304	198	171.5	231.5
Macromol Biosci	203	203				203				203	175	154.5	202
Macromol Rapid Commun	282	282				282				282	126	107	143
Macromolecules	5	5				5				5	105	91	202
Maedica (Buchar)	68	68		44		68	106.5	52.5	231.5	68	175.5	94	285
MAGMA	42	42	263	228	284	42	147	107	200	42	396.5	358	462
Magn Reson Chem	114	114	84.5	73	96	114	70.5	43	114	114	155	135	196
Magn Reson Imaging	215	215	162	123	193	215	146	108	204	215	293	261	374.5
Magn Reson Med	436	436	347	331	359.5	436	117	88.5	161.5	436	461.5	409.5	509
Magy Onkol	34	34	22	18	58	34	39	14	39	34	57	57	141
Malar Res Treat	22	22				22	88	71	124	22			
Malar. J.	237	237				237	94	64	125	237		77	
Malays J Med Sci	32	32	64.5	33.5	118.5	32	124.5	89	255	32	210	159	321
Mamm. Genome	40	40	87	64	107	40	95	65	125.5	40	176	154	206
Man Ther	89	89	227	203	256	89	185	112	252	89	412	352	488
Mar Drugs	138	138	18	8	31	138	47.5	32	61	138	60	42	75
Mar Genomics	22	22	105	78	162	22	65	38	93	22	183.5	88	255
Mar. Biol.	9	9	99	83	198	9	137	117	222	9	282	105	326
Mar. Biotechnol.	60	60	227	201	258	60	157.5	117	242	60	409	359	487.5
Mar. Environ. Res.	87	87	103	82		87	79	66.5	99	87	203	167	
Mar. Pollut. Bull.	516	516	90	80	99	516	99	67	147	516	191.5	160	240
Mass Spectrom (Tokyo)	51	51		180		51	62	41	81	51	90	47	
Mass Spectrom Rev	44	44				44	101	79	128.5	44			
Mater Sci Eng A Struct Mater	1	1				1				1			
Mater Sci Eng C Mater Biol Appl	649	649	118	105	135	649	137	100	198	649	262	217	323
Mater Sociomed	54	54				54	57.5	45	84	54			
Math Biosci	127	127	79	69	95	127	247	164	350	127	321	256	445
Matrix Biol.	64	64	135	111.5	157	64	79.5	44.5	120	64	212	179.5	318
Maturitas	188	188	83	74	92	188	44	7	93	188	129	93.5	175.5
Mayo Clin. Proc.	144	144	104.5	73	139.5	144	66	44	91	144	169.5	140	217
Meat Sci.	362	362	148	130	165	362	161.5	104	244	362	320	263	389
Mech. Ageing Dev.	88	88		57		88	115.5	87.5	142.5	88		251	
Mech. Dev.	38	38		216		38	140	62	192	38		397	
Med 2 0	9	9				9	196	182	196	9			
Med Biol Eng Comput	119	119	134	117	148	119	150	99	217	119	292	239.5	371.5
Med Chem	34	34	282	235	327	34	221	162	269	34	477	454	543
Med Chem Res	11	11	249	171.5	273.5	11	226	135.5	291.5	11	339	304	468.5
Med Clin (Barc)	260	260	227	153.5	349	260	57.5	23	86	260	288	179	439
Med Devices (Auckl)	2	2				2				2			
Med Dosim	88	88		111.5		88	242	160.5	324.5	88	282	176	324.5
Med Educ	44	44	170.5	161	195.5	44	115.5	79.5	140.5	44	289.5	256	324
Med Educ Online	16	16				16	29	10	67.5	16			
Med Eng Phys	222	222	219	168	287	222	231.5	184	285	222	468	387	559
Med Gas Res	15	15				15	73	49.5	88	15			
Med Glas (Zenica)	39	39	162	136.5	196.5	39	67	46.5	100.5	39	238	187	308
Med Image Anal	91	91	124	105	160.5	91	259	149	329	91	372	284.5	456
Med Intensiva	78	78	403	234		78	65.5	16	113	78	501.5	326	
Med J Armed Forces India	58	58	253	164	328	58	202	119	389	58	489	394	586
Med J Islam Repub Iran	26	26	159.5	129	176	26	108	76	132	26	272	226	291
Med J Nutrition Metab	2	2				2				2			
