Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Trials				149.5	105	195.5		79	
Tribol Int									
Trop Med Health	138.5	69.5	287	70	20	155	208.5	99.5	495
Trop Parasitol				103	96	113			
Tuberc Res Treat				69	47	86.5			
Tuberc Respir Dis (Seoul)	91	60	183	61	30.5	105	186	93.5	235.5
Tuberculosis (Edinb)	88	75	110	81.5	67	116	184	149	220
Tumour Biol.	131	107	146	46	28	68	173.5	150	199.5
Turk J Haematol	151	107	283	76	24	209	217	143	435
Uisahak									
Ultramicroscopy	123	101	144.5	95	71	170	221	197	319
Ultrason Sonochem	185	164	212	124.5	71	193	316	267.5	392
Ultrasonics	178	151	226	159	100	245	358.5	284	444
Ultrasonography									
Ultrasound Med Biol	149	136	161	157	111.5	216.5	311	262	371
Ultrasound Obstet Gynecol	194	127.5	241	68	43	93	259.5	213.5	335.5
United European Gastroenterol J	69	47	85.5	53.5	37.5	72.5	128.5	100	154
Updates Surg	121	77	239.5	111	47	133	204	135	382
Urol Ann	442.5	358	562	99.5	63	128	527.5	471	656
Urol J	349	70		192	112	339	304	157.5	435
Urol. Int.		120		100	66	135	206.5	78	368
Urol. Oncol.	636.5	394.5	796.5	59	38	79.5	688	474	860
Urolithiasis	93	67	117	115	85	151	211	153	264
Urology	125	108	153	68	42	114	203	170	253
Vaccine	63	59	77	107	77	149.5	184	143	232
Value Health				219.5	153	316			
Vascul. Pharmacol.		87		88	39	145		195	
Vet Anaesth Analg	345	282	450.5	117	73	213.5	455	387	654
Vet Comp Oncol	46	35	75	101	80	152	212	128.5	304
Vet Comp Orthop Traumatol		133.5		219	173	279	283	156.5	523.5
Vet Med Int				84	68	97			
Vet Ophthalmol									
Vet Radiol Ultrasound				132	96	165			
Vet Res Forum				381	303	528	322	167	591
Vet Surg	182	112	395	209	153	277.5	485	307	624
Vet. Immunol. Immunopathol.	90	79	103	113	83	173	214	182	282
Vet. J.	121	86	182.5	182	130	238	308	261	396
Vet. Microbiol.	133	121	157	97	68	152	251	209	302
Vet. Parasitol.	158	119	183	115	79	183	281	241	333
Vet. Res.				155.5	116	203		64	
Virchows Arch.	43	33	55	100	75	136	143	117	186
Virol Sin	26	8.5	65	47	15	88	79	51	144.5
Virol. J.				136	92	188		100	
Virology	101	86	112	69	47	92	167	148	198
Virus Genes	127	109	140	75.5	50	109.5	200	177	234.5
Virus Res.	95	74	107	86	54	110	176	147	208
Virusdisease									
Viruses		11		34.5	27	45	32	21.5	49.5
Vision Res.	74	61	87	162	113	229	241	178	317
Vox Sang.	194	176	209	109.5	78	149	297	264	354
Vulnerable Child Youth Stud									
Waste Manag	118	99	146.5	163	120	224	304	245	373.5
Water Air Soil Pollut		40		124	106	168	186.5	153	
Water Res.	96	83	109	123	91	153	221	185	251
Water Resour Res									
West Indian Med J									
West J Emerg Med	160	147	215	106	75	224	292.5	230	447.5
Wideochir Inne Tech Malo Inwazyjne	210	193	249.5	67	48	109.5	285	248.5	364.5
Wien Med Wochenschr	73	46	140	82	31	136	160.5	76	218
Wien. Klin. Wochenschr.	49	34	64	132	84.5	231	179	135	283
Wilderness Environ Med	178	156	215	185	147	240	372.5	332	445
Wiley Interdiscip Rev Comput Mol Sci									
Wiley Interdiscip Rev Nanomed Nanobiotechnol				107	92	175			
Wiley Interdiscip Rev RNA				77	55	138			
Wiley Interdiscip Rev Syst Biol Med				97	80.5	158			
Women Birth	163	126	207	144	81	188	332	233	427
Womens Health Issues				192	74	226			
Work Stress									
Workplace Health Saf	68	62	74	218	146	235	287	220	345.5
World Allergy Organ J				135	56.5	197		76.5	
World J Biol Chem	28	28	46	69	56	82	102	97	107
World J Cardiol	39	29	42	86.5	71	111	125	106	164
World J Clin Cases	38	29	43	86	70	112	119	102	145
World J Clin Oncol	31	24	66	91	58	112	136	79	172
World J Clin Pediatr									
World J Crit Care Med									
World J Diabetes	37	30.5	49	127	106.5	325.5	168	142.5	366.5
World J Emerg Med				123	104	134		101.5	
World J Emerg Surg				62	40.5	81.5			
World J Exp Med									
World J Gastrointest Endosc	46	39	71	82	72	127	155	116	185
World J Gastrointest Oncol	33	26.5	77	97	55.5	140	155.5	94.5	200.5
World J Gastrointest Pathophysiol									
World J Gastrointest Pharmacol Ther	71	39	90	118.5	83	127	169.5	149	185
World J Gastrointest Surg	50	38	60	96.5	70.5	146.5	156	131.5	191
World J Hepatol	42	38	63	94	62	151	144	103	201
World J Mens Health	48	29	99	38	20	46.5	95.5	52	131
World J Methodol									
World J Nephrol	5	5	22	65	61.5	70	72	66	83
World J Orthop		70		116	88	156	354	178	
World J Pediatr	434	269	498.5	135	112.5	175.5	581	412.5	645
World J Plast Surg	78.5	60	100	90.5	76	121	172	158.5	197.5
World J Psychiatry	66	34	84.5	66.5	54	118	137.5	106.5	164
World J Radiol	44	21.5	75	99	73	122	142.5	130	176.5
World J Stem Cells	49.5	37	79	179.5	121	274	245.5	172	333
World J Surg Oncol				162	121	217		78	
World J Transplant									
World J Urol	283	154	370	81	58	113	354.5	221.5	463
World J Virol	96	58	109	62	49	124	158	158	158
World J. Gastroenterol.	65	47	93	92	66	120	163	130	204
World J. Microbiol. Biotechnol.	153	140	172	96	67.5	130	250	221	297
World Neurosurg	689.5	353		72.5	15	212	799.5	430	
Worldviews Evid Based Nurs									
Worm	153	120.5		21	12	46	175	113	191
Wound Repair Regen				198	138	271			
Xenotransplantation				111.5	86	134			
Yeast	57	47	70	83	62	139	143	111	223
Yonago Acta Med	71.5	64	84	27	8	50	90	75.5	130
Z Evid Fortbild Qual Gesundhwes				111	73	172		107	
Z Gesundh Wiss									
Z Med Phys	260	189.5	287	144	94.5	205	433	355	445
Zoo Biol.				148	123.5	208			
Zookeys				76	49	123		220	
Zoology (Jena)	160	119.5	206	199	137.5	233	316	287	409
Zoomorphology									
Zoonoses Public Health							484.5	442	542
Zootaxa									
